bit,N,Z,PL,repeats,fixed_addr,seed,random_vs_random_distance,random_vs_fixed_distance,random1_stash_size,random2_stash_size,fixed_stash_size,elapsed_seconds
5,128,4,10,1000000,10,10,0.000597272727273,0.000807909090909,0,0,0,34.9326
6,128,4,12,1000000,10,10,0.00103230769231,0.00122961538462,0,0,0,30.3799
7,128,4,14,1000000,10,10,0.00149246666667,0.00181686666667,0,0,0,28.5525
8,128,4,16,1000000,10,10,0.00195382352941,0.00328047058824,0,0,0,30.7873
9,128,4,18,1000000,10,10,0.00283447368421,0.00610452631579,0,0,0,32.0089
10,128,4,20,1000000,10,10,0.00363238095238,0.0101482857143,0,0,0,34.9403
11,128,4,22,1000000,10,10,0.00502517391304,0.0166282608696,0,0,0,44.8385
12,128,4,24,1000000,10,10,0.00721096,0.02365816,0,0,0,55.1823
13,128,4,26,1000000,10,10,0.00965792592593,0.031912,0,0,0,56.6623
14,128,4,28,1000000,10,10,0.0129806206897,0.0411594137931,0,0,0,62.2571
15,128,4,30,1000000,10,10,0.0175430322581,0.0492353870968,0,0,0,64.7504
16,128,4,32,1000000,10,10,0.023889,0.0577844848485,0,0,0,71.416
