client_count,addr_alpha,op_alpha,statistical_distance,k,observed_count,random_count,observed_probability,random_probability
20,1.000000,1.500000,0.0441000000,1,0,0,0.0000000000,0.0000000000
20,1.000000,1.500000,0.0441000000,2,0,0,0.0000000000,0.0000000000
20,1.000000,1.500000,0.0441000000,3,0,0,0.0000000000,0.0000000000
20,1.000000,1.500000,0.0441000000,4,0,0,0.0000000000,0.0000000000
20,1.000000,1.500000,0.0441000000,5,0,0,0.0000000000,0.0000000000
20,1.000000,1.500000,0.0441000000,6,0,0,0.0000000000,0.0000000000
20,1.000000,1.500000,0.0441000000,7,0,0,0.0000000000,0.0000000000
20,1.000000,1.500000,0.0441000000,8,0,0,0.0000000000,0.0000000000
20,1.000000,1.500000,0.0441000000,9,0,0,0.0000000000,0.0000000000
20,1.000000,1.500000,0.0441000000,10,0,0,0.0000000000,0.0000000000
20,1.000000,1.500000,0.0441000000,11,0,0,0.0000000000,0.0000000000
20,1.000000,1.500000,0.0441000000,12,0,0,0.0000000000,0.0000000000
20,1.000000,1.500000,0.0441000000,13,0,0,0.0000000000,0.0000000000
20,1.000000,1.500000,0.0441000000,14,0,0,0.0000000000,0.0000000000
20,1.000000,1.500000,0.0441000000,15,0,0,0.0000000000,0.0000000000
20,1.000000,1.500000,0.0441000000,16,0,0,0.0000000000,0.0000000000
20,1.000000,1.500000,0.0441000000,17,5,0,0.0002500000,0.0000000000
20,1.000000,1.500000,0.0441000000,18,86,7,0.0043000000,0.0003500000
20,1.000000,1.500000,0.0441000000,19,1654,856,0.0827000000,0.0428000000
20,1.000000,1.500000,0.0441000000,20,18255,19137,0.9127500000,0.9568500000
